item_1,item_2,item_3,item_4
77355409,77169795,71007312,75694809
202891116,182706102,194213799,199365505
212510875,195314959,211696320,204928041
160058303,150588699,73186898,169964732
211412517,211159880,184485577,204086724
150626732,147380892,146809513,148735444
177089082,196474971,195353507,180409263
162374887,170033783,103714211,170762809
169541499,174772305,162223944,174772295
126645975,126668982,124847703,16673848
17221487,62726077,89424840,56860340
112378842,157191287,146236545,191548653
200311543,187553882,197960794,2999624
198494288,198494468,102986078,192410324
119939855,128434591,38400478,87410394
198416515,156526791,199166289,188020575
212259028,188742126,159565029,161199677
201855156,179939924,199969525,201392553
119145340,153692253,161399156,108433073
146278655,145028899,151044758,143950642
186778423,186778608,188457819,186976620
210638346,205879689,200225477,205950466
177505280,161469767,109278714,176739057
206564402,166514141,205088162,194108693
179691869,180123373,206021716,148615858
191065900,191430354,183008167,172047598
107219430,109591059,96693572,108595392
152440695,184514291,183262294,186100593
86380036,83240933,90588168,89765040
194256050,191570909,201436222,197197834
182660665,174145673,183032278,145948495
202594470,201837949,210982544,200522119
212380242,205796748,204215086,192356452
174615472,204843177,191842107,138625349
164421232,122562923,151039116,195717568
145810779,144162560,125476636,144896605
202025235,201826113,200343636,179049884
212982951,213382499,212491067,211497477
151955684,146538920,157985984,140042734
135360908,154360141,121590764,149624572
146666532,163915848,162745810,164179900
106002272,76908777,85444698,75702498
177986681,175111989,180883979,179402802
188022016,190327595,207263713,181845564
212145271,200108569,210932517,211563034
182365377,144765945,48899326,144494709
206467994,185304824,201721489,205738642
168880416,175714263,129823056,154197218
212434023,212225747,210335912,195127827
189208183,190262452,182733954,190262730
151243920,151357913,154594733,148910854
194521836,135012633,166477309,183311131
127302161,47101248,130172242,133508190
133545797,142576226,130323909,138017083
130057017,123846492,127243813,126844736
193737557,193658588,185499150,191626639
151194671,155433097,185597809,194678052
115198671,108345265,49287820,114722700
208364440,208750281,208431688,201480472
209988175,208674006,212844190,209194647
153573132,169062967,151366142,91776893
201972942,203012569,206316917,197305570
140826198,140609516,142184664,134683739
201598381,196163473,169807557,178543419
196730479,208142277,210982544,189701908
4487225,6662860,2530745,900277
58890659,77014387,117558246,85515074
86172764,87562507,74835277,88215228
201387618,172403594,200019099,203164989
153675611,168469339,106377696,197664413
26777725,142461763,128648093,110067609
202890942,203161489,177395201,203160708
94255362,96636273,89522921,92430035
69262694,67473955,65519035,69005174
169731192,183034192,183520715,182883880
180000860,184087173,189700722,210232487
98569997,92873089,88524149,89745009
127303307,131865256,87923283,132626833
138958806,152289576,148691574,145732903
211865191,206303535,190531369,211838329
203839659,208139579,208899274,209427135
186883525,188743747,187625105,173124577
194987741,194321254,193140851,167261240
141906082,146243754,147255561,139502312
144337153,135258113,148458118,176513337
172594694,202786989,200388905,195661942
207380096,209552560,208760991,169594848
39266486,47615814,29517080,27892715
201173282,201173219,189702664,201173268
203904758,180382993,67301723,151604517
170394352,147123019,162794201,175858350
146545358,159922749,157788089,15998867
180096009,145766081,189076349,133277821
203804963,201156286,173003255,195299666
197254522,193268236,192064343,190304151
196728455,199682913,206565372,195661942
148084430,142283109,150479880,114616791
96757540,106216766,109773649,112388902
165040963,158280737,109940050,165686955
202594470,200785116,202584108,192794179
52046092,59123186,67764321,1414434
118805506,127948380,133119991,99690116
74016493,81211733,37513455,84421768
145401349,166555035,157692552,190636032
207543861,196351006,169046607,196340356
183060465,182239993,199598721,129652487
194618044,192283348,181018954,193057755
65582665,24408972,62420767,27073444
119011711,117380030,155600785,148452215
191878717,153561704,202831630,202827040
207978076,199574637,208317273,204070280
195912127,185642254,133976346,149674231
94445348,118625228,116988504,118782256
171923698,133835466,212856947,169882344
195028544,209106655,149094148,90190578
134896564,145959661,146897741,145088583
145031199,146410789,148217546,136640367
209172372,209172486,204633807,196660196
120121175,126033790,123767048,86274833
202227165,136785441,196288901,158196407
187113178,180520138,184346669,182401293
168908409,170651338,141364179,171720226
78542940,62692758,68185751,71662950
142125850,179200902,57419836,189461998
155882081,184190189,182586258,3742663
157877049,163780285,126230192,170222954
209503068,181145084,194361935,213468184
202017157,158591594,148277599,174008996
198884174,149456975,89424840,129606749
199847526,205833368,165471649,206480150
153789888,193382210,194281816,193880989
181786916,173720787,193549805,180718836
184217114,186083423,101212547,173178059
74931429,88304535,55231850,87116286
170876971,197513525,167449653,197603522
185534950,188186594,154513836,162266085
179629790,184583922,182702378,180658418
152598506,182261908,169022438,186518648
204816050,205781540,195353507,165039174
112646863,115442177,107839526,60561413
98910635,73758653,71925687,68548024
181002192,174528891,199911789,187486665
212623447,213700190,212179084,213700307
165101280,142491205,156370386,157124952
207954076,208276353,46848824,159271009
209711081,208741976,210313943,129355470
213746773,197651233,199937054,213623927
181328051,176748150,143778052,181796752
206568866,195983434,178797625,211951597
174980925,192373402,91233749,105915624
136782109,145009565,131399740,141131392
79804197,78383058,79220888,73475267
74171640,72947999,62990782,78075719
178405233,170424683,155556162,174139876
166189894,182324616,182501447,182240020
88862649,84125836,7532293,88862782
213196140,209711184,208045227,211576263
136880137,178460816,185853296,178810032
186704173,197478323,202545385,198174448
177742927,168469499,18207344,170067152
149497977,102584271,134806004,102413755
97854488,105853064,19851657,93767564
209968335,213417812,210419219,213085090
203328714,203328442,40519463,203328529
124507476,131991037,125694853,127816222
208314616,206147998,198357244,135969306
212197971,212416145,196569096,212086671
164764663,170455384,103236737,137524495
134376662,144632102,209691306,176731843
193586810,182262217,190533502,192479487
108305708,96521744,107876122,91234837
208666844,210595103,127825378,204168740
156451600,157443273,132809328,150210535
122165586,159187997,95949134,173713845
147398153,177581164,199948157,90460505
209037956,195541242,206226014,214249489
201408599,204543072,200445402,191635499
131559721,138551204,101727614,131009913
203368371,185170824,206667845,196340198
141924137,62457606,126731121,113199419
203010475,210769606,206505311,192969187
206568866,209182264,209196891,193092306
193164516,135354857,153562371,130950075
210259988,208293338,212796235,200522119
210104512,202594570,207680915,120461943
172933438,168523004,95478566,167048132
209698841,195314959,210419279,200004282
143492265,146688487,145976745,144878044
67476398,61353245,71479862,73207729
59841382,53619608,61278865,69524064
146477715,155622538,150059094,154710267
202843483,207765267,190555720,194906321
145505041,147936802,149050683,147282365
121415493,116240600,122207470,88096729
191129754,144338774,183153623,165327764
40482037,117487362,93181938,132246199
143603075,137648281,145065201,145212745
177763708,172605298,138850941,177969459
138121049,145612549,147524224,191552744
107138187,147433100,203567932,30022896
163538085,141948364,155952052,146910653
20490871,23738326,9805594,19823933
63738263,78559509,20508024,42121315
191246793,200505985,157646550,178898201
207707308,158844938,207140961,207341373
147320653,143678709,147120863,149577309
177731546,179637187,170904692,181881650
117339903,120710726,97140607,116864465
204975582,204969141,203109726,198506834
174204718,162771070,22760240,191649237
202608211,198033838,205758872,197821855
129327903,136068675,114371298,131023150
142407754,131479620,106623858,142369781
22166404,3946291,25796611,19478912
115212834,117304325,105543273,116816667
148061207,140993456,132809328,149678841
192938666,192770173,193948267,193722670
169604399,168372520,168932681,169253274
164744195,159240010,156322863,142590705
140600839,139913107,139121173,137663209
213000969,211556030,207186361,190549441
57126230,127600340,130416682,132844148
210320134,140957366,37500231,210271363
111715278,111559016,9620184,117480875
97205267,104769127,86371040,85931830
159369191,153978661,165766728,164481229
140998353,145023030,136475092,147864539
166401000,144423900,109343654,193230700
55924533,85101694,9202904,66742980
177991519,127001872,187518008,184845179
183974957,183715261,207263713,189980414
209444999,200017897,109497256,180511098
21748304,118871033,118937795,114673442
124775214,54177943,120756208,128539013
145189052,148353772,152354599,104609315
178503394,170755933,62908523,16929797
193455432,193342090,194290029,188765971
196356426,198047755,202980660,170469525
150407048,151043423,153814537,158228635
65725798,65435899,65048299,66541453
37163217,50860907,50633818,50218066
90729788,92428481,64080343,53882541
50216046,146663610,131473381,161436405
128688902,194432178,127624674,195559344
192948905,210810277,44982790,211251065
36418338,23455240,119284206,29512114
211720150,199986883,165215423,205653676
101566467,113763838,135861438,86417490
109525691,12895024,107666713,138657213
170486912,118129114,156370646,165087734
154770222,154291929,153656844,154291698
212149151,208741976,212866934,207210865
188941883,205302600,190304088,203850085
177400740,194384965,187583713,156211436
125901190,43002333,63816016,141380060
203501429,151963117,205820989,206379911
181607772,146691885,171732606,176283699
70309097,41586019,67022520,12851989
98938697,119961849,113927046,120530912
77440112,102740573,77021746,75718649
108373225,113725418,110178861,110683716
178591541,191809914,184022034,181394753
169380793,165818738,169244940,168298510
180566349,139252531,193518893,174448447
197200563,211507878,192064343,209622664
150118436,120259481,150687926,87957374
72667923,205962604,168350832,192927038
193856206,202878940,202404892,162803654
204656925,204541402,203114223,203523991
105342686,59108921,104886457,94014222
182610624,196230579,183748881,191500499
83535683,116574832,112973891,15723124
200250437,205562596,204898727,196992170
135899716,135912795,136651543,134418077
50645036,76312055,81831113,82324979
176965483,181113623,175794738,173403875
147501918,156443587,159456016,160869076
127621585,130408096,129656760,136217635
92307165,97901963,94814378,93575463
91703371,86914999,91703540,88867972
83794711,84754893,78978627,85110034
213873283,204289535,207360662,211470188
123282118,129922199,130886290,118422240
211532940,210343929,210419279,211259367
207704808,205282748,206349995,136598879
188346989,165563962,147663802,190545665
177472772,181796200,197540729,185409123
76072366,136473964,130482958,133516503
202524669,202783221,213873033,209792305
186263060,188330358,188762416,195902450
200016591,42310321,206565956,53380641
179880340,188782480,191617277,162234177
78388311,73766494,81062164,88560866
202186662,204435982,206021716,205082711
202865422,191580817,205416045,208531113
174163501,164362983,151754806,168549586
212728648,210943371,213885170,206372186
189401378,195743460,185922158,165102460
37519855,106802348,60417471,105782956
194763632,210535691,184460839,172937265
177991519,204993753,206349995,207788929
189834279,209793522,182677906,210401124
206150826,206197493,202128855,200310145
140708905,135183556,63853934,59948374
134824878,137022086,138331625,128176986
204935867,203308990,206825423,205885004
50306957,98034602,45166061,93414063
171778721,201703285,126804250,183718988
176747503,151105197,165236619,163457314
130151286,140539702,121071832,141079032
131659596,24156478,103352439,103205459
202091546,200916581,193086737,199850638
195628755,208855189,209470735,209470224
166375542,173618142,170125946,164322597
211441313,209165593,214467687,209447485
179846192,205858794,206126964,205367329
200682655,195806531,190159553,194081815
208679977,207348814,194361935,201324038
183404665,182106026,186540746,178635088
184527993,140838135,184401363,154796489
165299984,162129080,164456551,167923855
205823740,195696530,172517604,181152476
121087015,155337952,124062189,131082105
95995613,118271398,88136653,118133081
211290786,213325702,194678791,207210865
171171254,178504886,182585909,175423333
105933074,72076653,121915487,77227386
51167136,60480145,36570687,44183309
206469058,201990509,206891371,210232487
158431254,146819283,152568656,157892065
55347035,53128382,43338782,80111185
144804567,160075861,55164791,155884787
191177869,197242899,199377203,181056587
134521170,123915823,133247593,133516503
80614079,80215227,76325988,78097592
158132300,157951822,150959797,132975200
118415156,115642502,88580641,120392570
207911543,212414718,174610981,164322952
205574049,202919714,183032278,200793052
208979892,210566681,209568874,210566597
177617091,171750227,160834040,154499495
187446839,193970789,64356040,145750187
151680026,151043581,150391529,169964732
172641354,136467462,173867041,155047686
153574289,156382776,126799566,159866474
178699840,63542368,156370386,112857696
194107542,108840796,129375319,155408840
179581025,168717418,176702640,179096908
175942158,189087614,1154163,188818036
165995329,165669530,152459077,145066608
195290130,194151003,196123660,182653339
114505979,184800378,119863260,142501611
189834279,175884934,201491646,162018646
160216629,177121838,91356396,101879877
153408319,155201275,152045277,153700903
144083429,136317099,143869456,86479203
179260049,182423549,118309779,177355923
140241084,149540842,152226392,153173786
156405933,156264808,154594733,114124212
135784970,140161569,142907592,130185101
6516822,4957425,8139101,8449029
163143585,177484281,207800354,170720061
143161841,84277461,134732918,84740647
186060722,154234746,158758860,186661927
175152312,159834068,60700696,166871446
180759503,179906585,165233298,154937089
195310968,194942997,159186226,192658352
63951411,83061007,82829539,88053202
207555149,185838284,208366581,179056357
189457057,161280294,67385623,106901794
188646189,201651435,201653121,201653798
204723795,202899916,194379737,204723379
197065997,204813694,210434674,205826202
107745167,106176889,104855760,98169744
181452016,189918501,115303949,144519840
204420821,193318701,203387650,204383665
201990856,202167887,205303476,202738792
141704045,142754202,139242333,144536233
123492828,200794479,159565029,196599711
27581592,156511557,156674746,121566558
185378107,191643600,186601677,187324465
203488858,209291059,196065595,193565445
72476402,75732531,67485461,69996380
157734007,141374563,183008167,192405348
209816002,189496886,105379832,202424124
101645106,117787918,114589108,115072249
177856693,189875914,176619359,132832237
210324275,210307139,195597882,181836874
137692465,126466899,7731220,127629500
50518616,87272222,7532293,88436107
105346807,106211344,99469904,105930869
155178814,190413373,184040489,190413496
116953617,112747769,67087194,53205987
207429949,171222658,209710387,213583775
120905004,82879583,87762152,168686681
119859081,37705213,129964383,130312254
177062726,195358228,211438055,199470737
141872568,191896856,143266387,144746810
207379875,204635948,201984427,174360556
82443051,154879704,33841594,64091620
166189894,176958266,174863197,177563953
197018367,197430047,198112054,198413412
102911897,119138316,117634173,121187272
210638346,209869622,167942091,169525097
165299085,121788459,165989551,166181439
203564214,176456914,208018949,169945818
207787133,205463688,207989785,166892327
153315637,153180771,155695998,152644184
174738977,178442738,178619870,176290787
191063635,210535691,189301113,113963319
127555664,198705696,210389907,204163460
169557936,160708650,133316438,153563751
150495124,145712671,150291857,61063249
165829805,199559228,170640334,212384710
212204932,196015097,196316373,201891088
91698126,90318948,86338295,86242581
209625588,171900445,136018113,209429002
115215765,161309391,164528810,156320556
182033539,195286538,202880504,191082848
126733832,158012133,188264020,140467591
49645186,43073588,89424840,82665786
176979858,192887785,92166860,171963226
113471430,162193144,168797620,172119764
148816780,131666281,144314772,42180488
118025068,124089219,119073792,119704953
183065710,142304929,196569096,187433659
191669650,194650086,187526336,187918167
116262848,204186915,204169973,203163473
78256710,102143268,63853934,33724395
162180940,97766727,158609008,162760498
185192472,180556187,182664387,141816468
198592916,165042769,203472685,167267835
150855191,117971726,143441552,146410377
177415544,193586731,183280024,177318030
174547200,170490062,167089853,167261262
170331327,167153578,180369246,169136040
35501643,171872024,165711099,108024592
95709174,125970169,38737634,126671851
208107295,37095122,184952520,205648765
125554753,133121621,124434255,134008990
77367965,12875236,29181108,49487127
110984141,184605256,117824224,148352229
112431162,170378654,168635815,173223090
111357285,208927587,205303476,191631045
188237114,188162770,187743223,168840751
156798799,162009938,158184609,176974495
201210649,208154631,116759471,206744042
92921349,93464960,98078746,100283176
211964604,212414718,212468326,209720846
118024918,157957796,159018898,147757670
164920435,176105076,159834816,180781558
212728648,210506637,211553902,210375515
153023210,155664055,125741097,146207297
102682879,70963303,104537950,108278603
202086791,199885964,199923631,200671857
88871050,88305625,87750670,89174440
215287024,214631122,215096027,210435424
145206613,177072365,155594596,183639308
195195364,166575990,128643096,198336932
104476553,105064367,106537482,105551486
164951239,199725398,188248736,188856803
197865102,205362046,207001321,195534873
109870166,160104044,160116931,127189106
163786556,179706484,152902708,132799115
98797364,100939516,96274495,88386762
182210507,157278611,183408611,57042082
205334268,211543881,211257579,205826202
125901190,125326168,115822354,126827617
214787593,213427138,214575072,200223412
207125780,206687502,198253464,190634963
165858698,161396931,174451925,97971318
169913850,168678493,169642544,171702110
171794271,179546983,160595673,163602444
167069559,178831647,213586059,167470939
148084430,145923676,159383079,162246713
159910969,158862130,174781499,169116783
60116971,150239407,158432286,97077651
202891259,202885615,198316238,203185293
210638346,172515865,129081450,208184934
200681171,197770444,205133298,188977857
178520126,176777174,173597545,172266286
197194456,202002377,165652957,204675663
164517774,148136295,176462915,164936619
195740907,203984113,124429871,204681186
80608289,78813837,56647869,76538928
141569571,133369942,104759754,121266303
127508739,152240214,163249740,155694209
174544540,207459613,211636671,204080549
110406053,110193499,74107483,108105818
23202131,50397033,29181108,75702610
149808226,159163224,124295791,167583548
149754983,140954466,151249913,150210535
190546545,210745102,8495818,170229439
196262088,195092882,194223277,196688736
191878357,178156627,182252303,189416550
182651121,14855520,205441849,9622513
66524854,64509828,53716854,58147877
28656005,32643113,32940416,32829231
144024330,118523856,140991395,147116128
68016059,67904450,63449449,47601245
194249134,196605605,141238107,139507195
156138195,205902086,211733778,203136623
92124335,43986099,114134990,95198643
202377463,201133006,198745091,197974841
68756830,110101818,63868463,88425183
74782596,77781524,56846366,71545997
189083496,207400643,211780018,210838477
198463350,203215884,160553476,206003200
184145242,193184373,141615352,166734416
140128353,153066247,154237566,151539200
211199056,146629648,205412547,149181379
193359416,197502662,207263713,60090295
193789515,194678645,188960638,188977857
117329385,119020084,119756140,120392570
187170715,189245898,183620824,181332735
163320729,171361332,105567461,150730451
202027176,191242770,206536197,195491421
202257891,186046467,194171425,203412693
113983203,131274100,178047164,184441963
128335473,130659457,126062029,131338065
204823064,181799070,203709428,195882210
201929461,195817061,204042393,192658352
124907527,125042270,125741097,120642748
115195748,139434746,102928736,139777468
58245936,67123501,61343964,38549935
162714160,195809598,206547527,187634207
204107602,201620605,205757415,193955197
160144597,156115187,152189030,160147412
130511577,200602199,89424840,125443982
148668228,158335294,160553297,133297161
176971022,145274010,145504932,142590705
204104762,205863022,206558077,214939994
104330915,89627210,107417462,101255815
204646936,172510911,209955155,188112419
170594419,172591110,167677100,155146968
214229007,214228745,212332421,206910567
131629489,145936340,141620662,150151001
162798754,138402252,200386679,172528770
97734744,107343661,37500231,131112707
176682288,183077401,176773631,181732574
153812324,148604044,136555955,170210661
173439318,164917385,153562371,154940272
151957957,159932033,164973809,161435094
150909412,105583368,152778830,151173851
167233298,165572276,177303230,163326270
213467581,198268212,154318918,201718536
184098518,185134778,185136415,174848646
209369338,207694321,177398690,87238102
180484216,188162770,206547527,179294407
170350330,186565199,173710229,169418233
206396171,202325005,55307400,157932574
195568329,213742850,212877560,211706241
202590604,214820924,210501712,214820943
159665774,158693060,151635416,153141704
17720785,134052731,102986143,63424555
2850864,3556377,3445863,3924961
104334170,162118161,188233655,212370292
199371498,206981459,208366581,200796374
190778911,183883874,168510821,162358019
176113708,188386036,182823282,193683028
171985881,180488485,183487660,177406453
160334053,157020083,154594733,160147412
76812231,77434653,77408384,77569864
190230116,193089907,208330892,197770532
78347549,75384771,60045544,61367009
173559133,171737878,152790158,172578712
139398347,148475980,157382715,152431538
194284009,211767551,206349995,188625676
109640306,110957576,112512800,104724089
213482572,213455290,213464726,213454706
202878786,202464821,197272660,179916410
71734384,80184180,70427205,46703243
154092149,158164958,160029789,158196407
76799953,116527666,8495818,87337446
141146596,139036844,153784582,136465510
143514047,208463472,212844190,195314265
161356517,161956360,164565763,100749159
173329443,176637756,173730409,174979397
113016109,81068808,116682397,114508147
189766928,186560109,182702378,183069106
136765317,136900772,137214364,136596522
165029132,162588258,159834789,160386226
139504923,126394831,142845377,138337337
192367050,146038206,193725173,198512727
199365848,190327595,195629074,210216777
181540069,211624930,158879803,205826957
17995401,114536691,201833433,60395432
193817407,205319569,128151874,169916613
123904468,74833400,136086120,98849067
91499141,164557923,146651020,192401744
150118384,149760473,159811975,155622361
196223719,169525282,192994449,80540655
183299158,160777165,163535135,190636032
154704676,181290670,109297517,181290687
180465465,181069684,182300744,185308631
186607827,184628832,185926376,192829577
159602597,109939081,154438836,159460470
116331055,138605647,150327974,145924437
104996240,137695364,93218989,94642533
147053950,148034573,146701120,131899898
97709253,103771698,98373434,102927697
194981785,185384421,188816672,191550186
142928063,172016572,142905385,172701291
154126404,152543478,196443287,164913703
152263616,65415824,148500934,3416784
163785869,167966012,164724526,164592282
209829295,207649566,203470938,203527526
145094069,141782678,137658400,142786350
66692291,120259481,112321252,72030337
106926227,113458858,113138254,113460791
158835818,158904024,146318525,149579931
121867096,124146847,120258048,120642748
89624916,109930589,120809172,88096729
26599574,23535108,22209584,20574149
208152780,210314588,209998885,211162164
26150822,150144219,105687217,150190785
144240137,135317096,129477580,144784768
120677282,148034573,124972467,156105055
138519024,157052904,121357945,131507789
77959463,78611262,78511641,78238418
151460948,149980585,121072298,144256863
144216045,149369328,149454754,136937809
161324185,172523485,187864500,172549146
186305999,182039099,179310076,153665515
29628857,60089677,61507967,59200968
40324142,40474213,33807891,37248138
65090116,84272383,98370783,94866118
75796578,112052996,86547802,83532687
161585995,161491292,160676186,160147412
188530523,189946844,186377742,187514679
22042453,10702871,67245022,48539606
110633148,119073668,105816742,95598356
167563545,163082012,162248571,167576098
203284216,213842955,181506823,205826202
187287927,169698661,183993843,167298126
143355608,154692141,158588860,152330350
148862059,152268032,152790158,132682779
196065440,204372929,190492367,205441556
156684133,126847722,156384405,191530478
203564214,202879058,201498223,202623837
203487348,203524326,201682660,95609113
188529951,187341140,188490750,181252722
167266857,128754043,152013812,115634563
101003390,104098259,34691817,136796369
201962289,177729795,145161310,202169901
167482637,165431422,97386592,162733819
181852816,180262782,156967397,187980282
173207348,165670452,202930140,161730812
175189782,149760473,186520762,181888559
196144884,147659845,186540746,149673396
203166524,212286314,207773342,208330468
155339146,119515636,68115224,173439148
83437287,122940878,117741227,128174397
198569429,205540229,39109146,205648765
176718351,190220243,190882431,200420326
210898330,202171295,200010155,208808996
149833764,145108909,88532667,139426012
151062418,148288389,146737232,147936081
204160992,196041149,190492367,191586264
78516965,52772271,99832629,92332876
137777233,142062562,141143647,136637756
95697798,88222966,56019936,59227278
181227144,182139204,182095522,167889025
144904374,138565553,59609713,143685626
171802166,191641530,43375930,107998903
157202651,156911703,156912836,156989822
113099609,110653878,113627787,112167284
43058481,90869005,148901579,89124293
207854361,184742672,190137042,191305988
167571884,181520362,57587981,143218097
170406432,158565781,144425243,161307758
127683736,138469554,142989366,59321555
123444640,42425959,319082,895392
160857984,191069304,190159553,191626639
99853799,136785441,96842752,131938973
198694576,208673471,207912597,206152012
203433753,196743952,179863906,31629997
204935996,211035449,182677906,183905495
163134447,186780568,173527150,190975414
201406435,201786857,184082224,172047598
213513527,211194085,211553902,204675663
209385880,181845813,168444910,202940101
135794791,135797760,138330423,138496145
99017415,98873598,92860597,98321751
140255315,145281561,146365102,146389094
176263819,144232814,186770542,198078007
180294719,181080334,124429871,176190070
116321549,90795630,90466160,38604454
211784071,211585892,213873033,206367128
162793431,165670452,165724807,165041367
187892315,106707296,34691817,188807437
132534858,194577293,128019484,201181970
71210763,65696545,73490228,76136515
172682235,171292618,187605881,166512745
154929256,173693853,170745809,184901628
83866084,138365072,106691900,149962094
193551265,157415984,188640797,190975943
194582727,170648634,184630058,193396809
186603571,167581570,188233484,134768151
181873612,157555738,182677879,183639308
99446040,124442789,129773025,123245147
148869173,145850872,147448378,144924403
150004696,201160850,186164228,201174246
162672277,169276516,172618687,109409833
135707204,128176996,118937795,125639216
121952971,20816718,39059296,87077188
195884628,199450027,149289748,201994156
208209310,151618167,155504238,140653542
180744645,199434702,133941369,196623014
175181770,182996469,181104184,133516519
152567497,143075511,128769532,117480875
76662746,75984174,50234355,76733839
158170029,150255349,152351600,145055992
197598800,213468162,129823056,187972102
187347511,190167039,171838675,156353155
126599078,133238181,132022090,125587949
198435506,183222419,141198414,200842898
113016109,127437639,123528799,78089400
146834486,147778371,82332973,147380897
162895235,165844435,167726332,148428044
177763708,200825272,153688531,192481635
8385134,86700946,7532293,53455910
211000485,215525530,214779667,209266093
201314159,201540001,182233142,191213417
116580695,120720121,127994403,161520890
113517677,197976154,165233320,163586579
89377168,95842604,76761600,95842953
103151188,101681076,34661372,97780203
126140788,98014961,96493509,172436368
63103158,59719511,63757495,61139255
141271278,142510886,109983308,143614515
125554779,121025412,128466395,129677591
184942417,194696531,193628670,191778796
168081450,173506592,172711117,84172823
144424186,139262383,140994887,143614515
177060128,191646520,191143404,190286162
182803736,182624829,187926191,185362641
159558110,204170142,207912544,144840294
122371684,123610612,26907115,125070319
61979322,71331111,83817612,85699235
164548775,166280452,160503983,166945793
133809780,138070876,137161427,136134192
8146799,13074792,10776218,13540057
99819187,122356831,7532302,90419948
123105682,123644242,135666154,134958490
117163588,117491723,110060598,92217796
15413387,195909624,194477170,192907404
212667102,206266107,214766922,208496108
184510351,171576246,193133187,200223130
143178993,178789888,62030640,7030279
192671594,138041487,209992929,191470461
91814352,153534057,178718976,59003818
78661231,87618834,81111234,95930859
118529421,118883110,110845206,117488893
180884112,140812367,196124307,189046573
178784275,186452696,143778052,186870756
185912695,174615639,165047288,179820764
160052289,165756392,166323070,165762707
82702834,84080847,88156682,24125032
164976195,161309391,210750078,163437889
188356275,193093771,180844306,192748207
93024322,142595610,26907115,134314882
179871142,193275510,198212831,131083061
19551361,51793289,52693903,22873522
183746852,140962181,174914294,180175796
194468618,176537721,124718229,213016860
158494797,172234126,170543269,161083752
202128221,176856910,191617277,185316263
154848428,154475680,184263551,187982769
162139427,135626450,166778371,163099884
63738389,64236400,63874498,62977389
167803769,183555586,33701616,187519487
164322971,172846524,167520500,163428222
151953398,190796062,185869788,167201310
166650876,168353538,150970182,169070210
177641206,188197887,185008405,183192625
138615179,138346830,136265451,127525233
184921128,184920627,184727501,134599721
185202438,185198333,180759559,185766426
148816918,55854952,125100807,132125874
187999802,187652888,185690712,177093401
99858133,182444866,179530620,190316305
187476614,129092635,150971534,191778796
173764719,181248950,136459509,157851550
154532719,152359609,152998750,155131792
125012943,161499336,151886196,152106850
141688124,104251579,93207934,129288431
183338620,158502237,183155183,180137171
184632645,184285996,189264772,178821517
192935178,185944114,192552573,149624008
196210383,194047309,196399260,194998567
79566336,80080955,76994292,79566342
155600446,195207399,102986078,203578383
196607114,190436286,194907383,204259518
136506591,136666235,132781768,136476294
182660403,183352254,173969557,183929417
