item_1,item_2,item_3,item_4,label
156154987,183077401,176773631,181732574,9
213081198,183077401,176773631,181732574,9
181135658,183077401,176773631,181732574,9
176682288,176985956,176773631,181732574,9
176682288,162393676,176773631,181732574,9
176682288,203578321,176773631,181732574,9
176682288,190721737,176773631,181732574,9
176682288,183077401,205829031,181732574,9
176682288,183077401,140488218,181732574,9
176682288,183077401,148585318,181732574,9
176682288,183077401,170913910,181732574,9
176682288,183077401,176773631,178830262,9
176682288,183077401,176773631,110018528,9
176682288,183077401,176773631,80008615,9
176682288,183077401,176773631,15325152,9
209988175,208674006,212844190,209194647,10
200658918,208674006,212844190,209194647,10
159369191,208674006,212844190,209194647,10
160303215,208674006,212844190,209194647,10
199255807,208674006,212844190,209194647,10
209988175,192139882,212844190,209194647,10
209988175,185537338,212844190,209194647,10
209988175,201222302,212844190,209194647,10
209988175,94332021,212844190,209194647,10
209988175,208674006,110874909,209194647,10
209988175,208674006,194883453,209194647,10
209988175,208674006,154687717,209194647,10
209988175,208674006,214397535,209194647,10
209988175,208674006,212844190,112388902,10
209988175,208674006,212844190,59194798,10
209988175,208674006,212844190,52475767,10
209988175,208674006,212844190,211179794,10
173221745,168571611,176317729,171142714,11
132176114,168571611,176317729,171142714,11
195135398,168571611,176317729,171142714,11
207758606,168571611,176317729,171142714,11
163634881,168571611,176317729,171142714,11
173221745,141346708,176317729,171142714,11
173221745,182671601,176317729,171142714,11
173221745,176972027,176317729,171142714,11
173221745,192511075,176317729,171142714,11
173221745,168571611,199322384,171142714,11
173221745,168571611,158812356,171142714,11
173221745,168571611,174662947,171142714,11
173221745,168571611,176599337,171142714,11
173221745,168571611,176317729,157456520,11
173221745,168571611,176317729,188573717,11
173221745,168571611,176317729,145987634,11
173221745,168571611,176317729,193057755,11
32455935,36270033,33543651,33912340,12
206338206,36270033,33543651,33912340,12
188458155,36270033,33543651,33912340,12
15079238,36270033,33543651,33912340,12
103652388,36270033,33543651,33912340,12
32455935,206069811,33543651,33912340,12
32455935,191586264,33543651,33912340,12
32455935,207236804,33543651,33912340,12
32455935,126836110,33543651,33912340,12
32455935,36270033,178047169,33912340,12
32455935,36270033,93854841,33912340,12
32455935,36270033,189524567,33912340,12
32455935,36270033,193631940,33912340,12
32455935,36270033,33543651,193940947,12
32455935,36270033,33543651,40169364,12
32455935,36270033,33543651,192479487,12
32455935,36270033,33543651,205751497,12
102682879,70963303,104537950,108278603,13
72717402,70963303,104537950,108278603,13
158952294,70963303,104537950,108278603,13
187885379,70963303,104537950,108278603,13
174616711,70963303,104537950,108278603,13
102682879,137150786,104537950,108278603,13
102682879,126668982,104537950,108278603,13
102682879,106245782,104537950,108278603,13
102682879,142728651,104537950,108278603,13
102682879,70963303,169522106,108278603,13
102682879,70963303,190751982,108278603,13
102682879,70963303,52097345,108278603,13
102682879,70963303,187889757,108278603,13
102682879,70963303,104537950,212281688,13
102682879,70963303,104537950,120259516,13
102682879,70963303,104537950,202120286,13
102682879,70963303,104537950,170606917,13
194256050,191570909,201436222,197197834,14
171696517,191570909,201436222,197197834,14
69730985,191570909,201436222,197197834,14
184780478,191570909,201436222,197197834,14
202415185,191570909,201436222,197197834,14
194256050,198196654,201436222,197197834,14
194256050,204084662,201436222,197197834,14
194256050,160280679,201436222,197197834,14
194256050,193634604,201436222,197197834,14
194256050,191570909,211743078,197197834,14
194256050,191570909,152039886,197197834,14
194256050,191570909,129634889,197197834,14
194256050,191570909,108057888,197197834,14
194256050,191570909,201436222,179671017,14
194256050,191570909,201436222,149556777,14
194256050,191570909,201436222,147917821,14
194256050,191570909,201436222,107056784,14
208468550,212356281,209734699,209808819,15
21341222,212356281,209734699,209808819,15
130563060,212356281,209734699,209808819,15
126683638,212356281,209734699,209808819,15
126487724,212356281,209734699,209808819,15
208468550,145975205,209734699,209808819,15
208468550,138374981,209734699,209808819,15
208468550,178411532,209734699,209808819,15
208468550,174192616,209734699,209808819,15
208468550,212356281,177505720,209808819,15
208468550,212356281,137625467,209808819,15
208468550,212356281,178240160,209808819,15
208468550,212356281,170643939,209808819,15
208468550,212356281,209734699,199700491,15
208468550,212356281,209734699,207372819,15
208468550,212356281,209734699,201020544,15
208468550,212356281,209734699,209736149,15
193146341,163669039,183378741,188161594,16
42468645,163669039,183378741,188161594,16
183279332,163669039,183378741,188161594,16
128176572,163669039,183378741,188161594,16
133809780,163669039,183378741,188161594,16
193146341,155111699,183378741,188161594,16
193146341,159049503,183378741,188161594,16
193146341,176528663,183378741,188161594,16
193146341,145244873,183378741,188161594,16
193146341,163669039,94227133,188161594,16
193146341,163669039,196708298,188161594,16
193146341,163669039,191694573,188161594,16
193146341,163669039,197111878,188161594,16
193146341,163669039,183378741,138169343,16
193146341,163669039,183378741,194389399,16
193146341,163669039,183378741,207341466,16
193146341,163669039,183378741,156853921,16
211462903,210384275,211699006,209375418,17
119982105,210384275,211699006,209375418,17
212864484,210384275,211699006,209375418,17
124831376,210384275,211699006,209375418,17
113011989,210384275,211699006,209375418,17
211462903,128041421,211699006,209375418,17
211462903,200073288,211699006,209375418,17
211462903,204121597,211699006,209375418,17
211462903,141926948,211699006,209375418,17
211462903,210384275,156370646,209375418,17
211462903,210384275,87238102,209375418,17
211462903,210384275,133268745,209375418,17
211462903,210384275,128689247,209375418,17
211462903,210384275,211699006,200045394,17
211462903,210384275,211699006,100918161,17
211462903,210384275,211699006,96969954,17
211462903,210384275,211699006,204681453,17
61044212,64378415,67485461,65019071,18
150083126,64378415,67485461,65019071,18
133117512,64378415,67485461,65019071,18
188279595,64378415,67485461,65019071,18
99853799,64378415,67485461,65019071,18
61044212,179315594,67485461,65019071,18
61044212,194648468,67485461,65019071,18
61044212,167839877,67485461,65019071,18
61044212,65491915,67485461,65019071,18
61044212,64378415,130565304,65019071,18
61044212,64378415,181140878,65019071,18
61044212,64378415,68757308,65019071,18
61044212,64378415,181140893,65019071,18
61044212,64378415,67485461,145710900,18
61044212,64378415,67485461,81121143,18
61044212,64378415,67485461,138017461,18
61044212,64378415,67485461,129880505,18
203010475,210769606,206505311,192969187,19
145398028,210769606,206505311,192969187,19
188176604,210769606,206505311,192969187,19
156355934,210769606,206505311,192969187,19
181801872,210769606,206505311,192969187,19
203010475,210384275,206505311,192969187,19
203010475,210824060,206505311,192969187,19
203010475,133720224,206505311,192969187,19
203010475,163370625,206505311,192969187,19
203010475,210769606,188050696,192969187,19
203010475,210769606,152664347,192969187,19
203010475,210769606,214249812,192969187,19
203010475,210769606,123571065,192969187,19
203010475,210769606,206505311,153692884,19
203010475,210769606,206505311,190549441,19
203010475,210769606,206505311,150962091,19
203010475,210769606,206505311,183555557,19
202008513,179109789,89456717,177648624,20
209625588,179109789,89456717,177648624,20
210346192,179109789,89456717,177648624,20
204683870,179109789,89456717,177648624,20
212432968,179109789,89456717,177648624,20
202008513,145038463,89456717,177648624,20
202008513,135965756,89456717,177648624,20
202008513,108704392,89456717,177648624,20
202008513,138012215,89456717,177648624,20
202008513,179109789,45691229,177648624,20
202008513,179109789,185922509,177648624,20
202008513,179109789,192291222,177648624,20
202008513,179109789,196340198,177648624,20
202008513,179109789,89456717,130950075,20
202008513,179109789,89456717,158097106,20
202008513,179109789,89456717,117965073,20
202008513,179109789,89456717,132246199,20
182619108,188111924,148623786,178839117,21
180294719,188111924,148623786,178839117,21
180198062,188111924,148623786,178839117,21
126487724,188111924,148623786,178839117,21
178562537,188111924,148623786,178839117,21
182619108,133851294,148623786,178839117,21
182619108,147905241,148623786,178839117,21
182619108,178268909,148623786,178839117,21
182619108,154085857,148623786,178839117,21
182619108,188111924,197756376,178839117,21
182619108,188111924,44317689,178839117,21
182619108,188111924,140487255,178839117,21
182619108,188111924,118625228,178839117,21
182619108,188111924,148623786,59199431,21
182619108,188111924,148623786,147016771,21
182619108,188111924,148623786,112838133,21
182619108,188111924,148623786,69278712,21
82702834,86907471,38732150,108151646,22
118415156,86907471,38732150,108151646,22
194391506,86907471,38732150,108151646,22
186668208,86907471,38732150,108151646,22
138723087,86907471,38732150,108151646,22
82702834,65922360,38732150,108151646,22
82702834,53356228,38732150,108151646,22
82702834,141342059,38732150,108151646,22
82702834,111676032,38732150,108151646,22
82702834,86907471,208655318,108151646,22
82702834,86907471,164421232,108151646,22
82702834,86907471,183898577,108151646,22
82702834,86907471,143680083,108151646,22
82702834,86907471,38732150,80008615,22
82702834,86907471,38732150,84172823,22
82702834,86907471,38732150,174448447,22
82702834,86907471,38732150,214700620,22
147924345,213103558,209015727,213665954,23
156184592,213103558,209015727,213665954,23
127731146,213103558,209015727,213665954,23
183511803,213103558,209015727,213665954,23
103853321,213103558,209015727,213665954,23
147924345,134492828,209015727,213665954,23
147924345,169051369,209015727,213665954,23
147924345,112425197,209015727,213665954,23
147924345,130149488,209015727,213665954,23
147924345,213103558,98595486,213665954,23
147924345,213103558,207705310,213665954,23
147924345,213103558,52145013,213665954,23
147924345,213103558,127336826,213665954,23
147924345,213103558,209015727,170720061,23
147924345,213103558,209015727,110608906,23
147924345,213103558,209015727,183652611,23
147924345,213103558,209015727,171117664,23
202025235,201826113,200343636,179049884,24
206068247,201826113,200343636,179049884,24
76671406,201826113,200343636,179049884,24
162508544,201826113,200343636,179049884,24
127624674,201826113,200343636,179049884,24
202025235,85110034,200343636,179049884,24
202025235,161624158,200343636,179049884,24
202025235,176323306,200343636,179049884,24
202025235,186667213,200343636,179049884,24
202025235,201826113,157451411,179049884,24
202025235,201826113,105865644,179049884,24
202025235,201826113,209812416,179049884,24
202025235,201826113,205210274,179049884,24
202025235,201826113,200343636,214939994,24
202025235,201826113,200343636,66037109,24
202025235,201826113,200343636,182195988,24
202025235,201826113,200343636,135681495,24
69316831,68674292,67059624,67801643,25
31918530,68674292,67059624,67801643,25
23328817,68674292,67059624,67801643,25
31288854,68674292,67059624,67801643,25
179889803,68674292,67059624,67801643,25
69316831,91366130,67059624,67801643,25
69316831,118094678,67059624,67801643,25
69316831,22608272,67059624,67801643,25
69316831,140760485,67059624,67801643,25
69316831,68674292,200490580,67801643,25
69316831,68674292,122194401,67801643,25
69316831,68674292,116186529,67801643,25
69316831,68674292,129563294,67801643,25
69316831,68674292,67059624,157268027,25
69316831,68674292,67059624,78508987,25
69316831,68674292,67059624,191537320,25
69316831,68674292,67059624,182141241,25
206663394,179670223,206994342,129525041,26
154760751,179670223,206994342,129525041,26
154398846,179670223,206994342,129525041,26
170772690,179670223,206994342,129525041,26
154687717,179670223,206994342,129525041,26
206663394,194746319,206994342,129525041,26
206663394,194570846,206994342,129525041,26
206663394,118049656,206994342,129525041,26
206663394,203636956,206994342,129525041,26
206663394,179670223,55858001,129525041,26
206663394,179670223,208312660,129525041,26
206663394,179670223,213643554,129525041,26
206663394,179670223,179310076,129525041,26
206663394,179670223,206994342,164702284,26
206663394,179670223,206994342,117624686,26
206663394,179670223,206994342,153093046,26
206663394,179670223,206994342,165583776,26
108373225,113725418,110178861,110683716,27
183491825,113725418,110178861,110683716,27
193057557,113725418,110178861,110683716,27
207217337,113725418,110178861,110683716,27
125568006,113725418,110178861,110683716,27
108373225,142949961,110178861,110683716,27
108373225,207062714,110178861,110683716,27
108373225,129842715,110178861,110683716,27
108373225,213501604,110178861,110683716,27
108373225,113725418,184263551,110683716,27
108373225,113725418,208586034,110683716,27
108373225,113725418,157703333,110683716,27
108373225,113725418,110178861,174050976,27
108373225,113725418,110178861,123493721,27
108373225,113725418,110178861,185922531,27
108373225,113725418,110178861,77225206,27
77959463,78611262,78511641,78238418,28
200394206,78611262,78511641,78238418,28
128175710,78611262,78511641,78238418,28
156190715,78611262,78511641,78238418,28
94329526,78611262,78511641,78238418,28
77959463,195524353,78511641,78238418,28
77959463,154708383,78511641,78238418,28
77959463,200654529,78511641,78238418,28
77959463,176721477,78511641,78238418,28
77959463,78611262,150658114,78238418,28
77959463,78611262,211837260,78238418,28
77959463,78611262,189187065,78238418,28
77959463,78611262,82540433,78238418,28
77959463,78611262,78511641,188257329,28
77959463,78611262,78511641,192711141,28
77959463,78611262,78511641,193570556,28
77959463,78611262,78511641,72779392,28
192528116,199950464,199951967,199770266,29
149655259,199950464,199951967,199770266,29
201263045,199950464,199951967,199770266,29
192280710,199950464,199951967,199770266,29
185560410,199950464,199951967,199770266,29
192528116,197108755,199951967,199770266,29
192528116,157951822,199951967,199770266,29
192528116,184807484,199951967,199770266,29
192528116,195215710,199951967,199770266,29
192528116,199950464,200758418,199770266,29
192528116,199950464,177824908,199770266,29
192528116,199950464,142503795,199770266,29
192528116,199950464,210668427,199770266,29
192528116,199950464,199951967,117878302,29
192528116,199950464,199951967,148230997,29
192528116,199950464,199951967,136868768,29
192528116,199950464,199951967,179545153,29
213357156,214249855,214537021,211145017,30
157513387,214249855,214537021,211145017,30
185367994,214249855,214537021,211145017,30
191878717,214249855,214537021,211145017,30
169779427,214249855,214537021,211145017,30
213357156,213417809,214537021,211145017,30
213357156,89664259,214537021,211145017,30
213357156,199443960,214537021,211145017,30
213357156,195043912,214537021,211145017,30
213357156,214249855,174610996,211145017,30
213357156,214249855,59942552,211145017,30
213357156,214249855,139571154,211145017,30
213357156,214249855,75780314,211145017,30
213357156,214249855,214537021,197023988,30
213357156,214249855,214537021,139997616,30
213357156,214249855,214537021,75117518,30
213357156,214249855,214537021,210686840,30
197164022,201544142,190492367,206233559,31
181146975,201544142,190492367,206233559,31
143366947,201544142,190492367,206233559,31
191489326,201544142,190492367,206233559,31
192299966,201544142,190492367,206233559,31
197164022,182529955,190492367,206233559,31
197164022,117768177,190492367,206233559,31
197164022,156618455,190492367,206233559,31
197164022,144423927,190492367,206233559,31
197164022,201544142,189255260,206233559,31
197164022,201544142,209795147,206233559,31
197164022,201544142,142459772,206233559,31
197164022,201544142,82332975,206233559,31
197164022,201544142,190492367,166565238,31
197164022,201544142,190492367,184183306,31
197164022,201544142,190492367,147017215,31
197164022,201544142,190492367,206069811,31
73653208,45691229,72897232,84029192,32
151042573,45691229,72897232,84029192,32
158080066,45691229,72897232,84029192,32
120675719,45691229,72897232,84029192,32
144111485,45691229,72897232,84029192,32
73653208,186474609,72897232,84029192,32
73653208,142748143,72897232,84029192,32
73653208,202019566,72897232,84029192,32
73653208,173120061,72897232,84029192,32
73653208,45691229,156440222,84029192,32
73653208,45691229,86761657,84029192,32
73653208,45691229,145491754,84029192,32
73653208,45691229,13144190,84029192,32
73653208,45691229,72897232,167853990,32
73653208,45691229,72897232,174846916,32
73653208,45691229,72897232,10972785,32
73653208,45691229,72897232,137881011,32
163263319,1027065,179218523,161502641,33
186521426,1027065,179218523,161502641,33
197727661,1027065,179218523,161502641,33
64050806,1027065,179218523,161502641,33
144230923,1027065,179218523,161502641,33
163263319,162811758,179218523,161502641,33
163263319,154135576,179218523,161502641,33
163263319,83200436,179218523,161502641,33
163263319,207939649,179218523,161502641,33
163263319,1027065,207857061,161502641,33
163263319,1027065,201261794,161502641,33
163263319,1027065,7765544,161502641,33
163263319,1027065,63678796,161502641,33
163263319,1027065,179218523,64223873,33
163263319,1027065,179218523,204210241,33
163263319,1027065,179218523,61349814,33
163263319,1027065,179218523,169609800,33
105465833,119397527,89743690,113720013,34
151838714,119397527,89743690,113720013,34
185099561,119397527,89743690,113720013,34
70536289,119397527,89743690,113720013,34
158862186,119397527,89743690,113720013,34
105465833,198008193,89743690,113720013,34
105465833,208744799,89743690,113720013,34
105465833,178211292,89743690,113720013,34
105465833,149913241,89743690,113720013,34
105465833,119397527,210278202,113720013,34
105465833,119397527,212009605,113720013,34
105465833,119397527,207497455,113720013,34
105465833,119397527,186731228,113720013,34
105465833,119397527,89743690,203976074,34
105465833,119397527,89743690,179473122,34
105465833,119397527,89743690,128283254,34
105465833,119397527,89743690,78294475,34
202858470,206301481,174961494,206285685,35
210820993,206301481,174961494,206285685,35
162648021,206301481,174961494,206285685,35
198769597,206301481,174961494,206285685,35
175818189,206301481,174961494,206285685,35
202858470,201893919,174961494,206285685,35
202858470,84884890,174961494,206285685,35
202858470,209372960,174961494,206285685,35
202858470,183555586,174961494,206285685,35
202858470,206301481,206514881,206285685,35
202858470,206301481,108582502,206285685,35
202858470,206301481,89328056,206285685,35
202858470,206301481,104293750,206285685,35
202858470,206301481,174961494,195522123,35
202858470,206301481,174961494,142501136,35
202858470,206301481,174961494,170689536,35
202858470,206301481,174961494,190108858,35
178476811,195498377,161498471,205092148,36
211086550,195498377,161498471,205092148,36
161324185,195498377,161498471,205092148,36
203098310,195498377,161498471,205092148,36
209358954,195498377,161498471,205092148,36
178476811,195498374,161498471,205092148,36
178476811,195750481,161498471,205092148,36
178476811,157120886,161498471,205092148,36
178476811,153498575,161498471,205092148,36
178476811,195498377,190486274,205092148,36
178476811,195498377,209064701,205092148,36
178476811,195498377,73095054,205092148,36
178476811,195498377,60789007,205092148,36
178476811,195498377,161498471,192905285,36
178476811,195498377,161498471,164311405,36
178476811,195498377,161498471,133692891,36
178476811,195498377,161498471,28553368,36
95995613,118271398,88136653,118133081,37
99989430,118271398,88136653,118133081,37
185589491,118271398,88136653,118133081,37
167984574,118271398,88136653,118133081,37
146077075,118271398,88136653,118133081,37
95995613,183596844,88136653,118133081,37
95995613,173629103,88136653,118133081,37
95995613,193779384,88136653,118133081,37
95995613,155432295,88136653,118133081,37
95995613,118271398,204169973,118133081,37
95995613,118271398,215198629,118133081,37
95995613,118271398,188855140,118133081,37
95995613,118271398,82188432,118133081,37
95995613,118271398,88136653,161220425,37
95995613,118271398,88136653,189263632,37
95995613,118271398,88136653,171491988,37
95995613,118271398,88136653,209698923,37
76072366,136473964,130482958,133516503,38
74466107,136473964,130482958,133516503,38
212982951,136473964,130482958,133516503,38
152375699,136473964,130482958,133516503,38
191423965,136473964,130482958,133516503,38
76072366,39195432,130482958,133516503,38
76072366,165563962,130482958,133516503,38
76072366,178306550,130482958,133516503,38
76072366,75984174,130482958,133516503,38
76072366,136473964,139258668,133516503,38
76072366,136473964,99313918,133516503,38
76072366,136473964,125100807,133516503,38
76072366,136473964,18527869,133516503,38
76072366,136473964,130482958,177938582,38
76072366,136473964,130482958,127379154,38
76072366,136473964,130482958,127379086,38
76072366,136473964,130482958,152885332,38
188379161,184596570,186193811,186767710,39
161172155,184596570,186193811,186767710,39
176099152,184596570,186193811,186767710,39
187121913,184596570,186193811,186767710,39
114864299,184596570,186193811,186767710,39
188379161,172207434,186193811,186767710,39
188379161,163734330,186193811,186767710,39
188379161,203445791,186193811,186767710,39
188379161,186780568,186193811,186767710,39
188379161,184596570,200673630,186767710,39
188379161,184596570,190751982,186767710,39
188379161,184596570,187889757,186767710,39
188379161,184596570,110746984,186767710,39
188379161,184596570,186193811,135567818,39
188379161,184596570,186193811,197599923,39
188379161,184596570,186193811,144500523,39
188379161,184596570,186193811,50221052,39
125766446,113629384,124184976,130272990,40
141871311,113629384,124184976,130272990,40
182757526,113629384,124184976,130272990,40
169654373,113629384,124184976,130272990,40
49645186,113629384,124184976,130272990,40
125766446,154946326,124184976,130272990,40
125766446,117577224,124184976,130272990,40
125766446,152891660,124184976,130272990,40
125766446,190046791,124184976,130272990,40
125766446,113629384,170543269,130272990,40
125766446,113629384,210018572,130272990,40
125766446,113629384,206506762,130272990,40
125766446,113629384,82323007,130272990,40
125766446,113629384,124184976,148735444,40
125766446,113629384,124184976,150708075,40
125766446,113629384,124184976,212357150,40
125766446,113629384,124184976,212142802,40
55108786,1230720,44432219,50270560,41
172629441,1230720,44432219,50270560,41
163852302,1230720,44432219,50270560,41
189792789,1230720,44432219,50270560,41
161533393,1230720,44432219,50270560,41
55108786,148369794,44432219,50270560,41
55108786,144353468,44432219,50270560,41
55108786,209865263,44432219,50270560,41
55108786,180614068,44432219,50270560,41
55108786,1230720,112646863,50270560,41
55108786,1230720,39195432,50270560,41
55108786,1230720,208315682,50270560,41
55108786,1230720,77158431,50270560,41
55108786,1230720,44432219,61811575,41
55108786,1230720,44432219,50621804,41
55108786,1230720,44432219,38549935,41
55108786,1230720,44432219,60399018,41
192935178,185944114,192552573,149624008,42
198162145,185944114,192552573,149624008,42
120354579,185944114,192552573,149624008,42
43058481,185944114,192552573,149624008,42
169844958,185944114,192552573,149624008,42
192935178,121828431,192552573,149624008,42
192935178,99230712,192552573,149624008,42
192935178,178956116,192552573,149624008,42
192935178,197386894,192552573,149624008,42
192935178,185944114,171519099,149624008,42
192935178,185944114,195294748,149624008,42
192935178,185944114,62179313,149624008,42
192935178,185944114,199707036,149624008,42
192935178,185944114,192552573,182568014,42
192935178,185944114,192552573,123686461,42
192935178,185944114,192552573,187980360,42
192935178,185944114,192552573,108390089,42
215585515,214603189,207946500,214502858,43
202255525,214603189,207946500,214502858,43
206326336,214603189,207946500,214502858,43
205477145,214603189,207946500,214502858,43
181138878,214603189,207946500,214502858,43
215585515,167299751,207946500,214502858,43
215585515,204435982,207946500,214502858,43
215585515,140152261,207946500,214502858,43
215585515,171176703,207946500,214502858,43
215585515,214603189,203221554,214502858,43
215585515,214603189,194552932,214502858,43
215585515,214603189,101837389,214502858,43
215585515,214603189,141497450,214502858,43
215585515,214603189,207946500,155632428,43
215585515,214603189,207946500,156543740,43
215585515,214603189,207946500,206821207,43
215585515,214603189,207946500,208330468,43
206061273,200298353,198105364,194498259,44
165887273,200298353,198105364,194498259,44
211243288,200298353,198105364,194498259,44
210108157,200298353,198105364,194498259,44
203171500,200298353,198105364,194498259,44
206061273,193019394,198105364,194498259,44
206061273,162771070,198105364,194498259,44
206061273,187838228,198105364,194498259,44
206061273,164629522,198105364,194498259,44
206061273,200298353,213331325,194498259,44
206061273,200298353,204609324,194498259,44
206061273,200298353,173228540,194498259,44
206061273,200298353,79220888,194498259,44
206061273,200298353,198105364,133337838,44
206061273,200298353,198105364,196250203,44
206061273,200298353,198105364,159276751,44
206061273,200298353,198105364,164722772,44
156248058,157028868,148293424,157043290,45
182272621,157028868,148293424,157043290,45
178715564,157028868,148293424,157043290,45
212669533,157028868,148293424,157043290,45
145084623,157028868,148293424,157043290,45
156248058,148339423,148293424,157043290,45
156248058,120454171,148293424,157043290,45
156248058,156999910,148293424,157043290,45
156248058,150344307,148293424,157043290,45
156248058,157028868,127869157,157043290,45
156248058,157028868,94537272,157043290,45
